"","mRNA","logFC","FDR","Delta","Primary Tumor","Solid Tissue Normal","start","end"
"ENSG00000165553","ENSG00000165553",2.14461413413082,8.07199156499348e-11,1.97673026561512,0.921718380083446,4.80747997272717,77265483,77271312
"ENSG00000166091","ENSG00000166091",2.25288593092763,9.51019471573548e-12,1.95323520579471,0.866992500144231,4.91286203754853,23376773,23379772
"ENSG00000256193","ENSG00000256193",2.00629582234498,1.81087643234156e-09,1.92748040906329,0.960715956040038,4.52395014694376,127914707,127960028
"ENSG00000172689","ENSG00000172689",2.83321423060237,3.54971663397137e-18,1.92123691175912,0.678112121211054,5.96799287136038,60785333,60801305
"ENSG00000243832","ENSG00000243832",2.03397150422938,1.28675965586826e-09,1.90734533722141,0.937744375108173,4.51331842825556,134055256,134057648
"ENSG00000216560","ENSG00000216560",2.31507715505527,6.99922305852722e-12,1.86095342573843,0.803840779852542,4.79838628030347,3576869,3590711
"ENSG00000198049","ENSG00000198049",2.28344652874711,1.36773814238773e-11,1.86091849854567,0.814960400919364,4.74950318719017,206106936,206117699
"ENSG00000154080","ENSG00000154080",2.12432800834742,3.93827022708724e-10,1.85006159713184,0.870892625744295,4.50120775316194,26906481,27185308
"ENSG00000214888","ENSG00000214888",2.86613334587237,6.63743313397076e-18,1.82786041964007,0.637744375108173,5.79348794308382,87857015,87859599
"ENSG00000070748","ENSG00000070748",3.0068386886939,1.86108374659967e-19,1.80068743296481,0.598863996174996,6.06552094324904,49609095,49667942
"ENSG00000187848","ENSG00000187848",2.47415503189297,4.2786227381314e-13,1.79275456298689,0.724592654816484,4.9012066364105,132618776,132622388
"ENSG00000283286","ENSG00000283286",2.15409629784442,4.0040182891659e-10,1.79061971307973,0.831262611087344,4.40882678795287,40415137,40431491
"ENSG00000177511","ENSG00000177511",2.15400946591028,4.47037399731874e-10,1.78064743732013,0.826666486615292,4.3866450242165,57352557,57371731
"ENSG00000164122","ENSG00000164122",2.52297615105356,1.8848765433545e-13,1.76537099853047,0.699717671842943,4.92122417231012,176213673,176277571
"ENSG00000280323","ENSG00000280323",2.19024797677868,2.82715139127682e-10,1.75615984050835,0.801808680627674,4.38001038183088,219427477,219429319
"ENSG00000184601","ENSG00000184601",2.13059463804228,1.28675965586826e-09,1.71857375546527,0.806616953210963,4.21991059606112,104579764,104590515
"ENSG00000218274","ENSG00000218274",2.07428659949304,5.43798634678075e-09,1.67469653975379,0.807360246247111,4.05678501461957,63395007,63397106
"ENSG00000131482","ENSG00000131482",2.39710176033017,1.18447776776281e-11,1.66681159637262,0.695344529780426,4.47457488997226,42900797,42914438
"ENSG00000081800","ENSG00000081800",2.03643962941831,1.13383799246864e-08,1.66603343927499,0.818110890795654,3.9956327380387,123113531,123199972
"ENSG00000261761","ENSG00000261761",2.26864541426392,3.5344544192735e-10,1.59562474757259,0.703338096619345,4.12362510117988,37001772,37023499
"ENSG00000262543","ENSG00000262543",2.2191719532033,1.24690681965332e-09,1.56546208877825,0.705426222838908,3.99066836198112,138377905,138383486
"ENSG00000245870","ENSG00000245870",2.7779472379814,3.45480779102325e-14,1.45729071651278,0.524592654816484,4.61108950949991,41872747,41882955
"ENSG00000279668","ENSG00000279668",2.25556609560833,2.25455251915008e-09,1.4514979149803,0.64351823597917,3.77929990978719,33827699,34079100
"ENSG00000187714","ENSG00000187714",2.247276588339,2.63516959692243e-09,1.45026765318819,0.645344529780426,3.76619304902717,49610310,49612720
"ENSG00000162040","ENSG00000162040",2.85807223409252,9.74971302795205e-15,1.41573044687505,0.495344529780426,4.65468532338238,1911475,1918415
"ENSG00000172995","ENSG00000172995",2.4658559937699,1.72574980490453e-10,1.34474107742869,0.545344529780426,3.81174792489729,35638945,35794496
"ENSG00000040731","ENSG00000040731",2.49140748359441,1.42845105179586e-10,1.324102931453,0.53146783100398,3.79859410341529,24487100,24644978
"ENSG00000204071","ENSG00000204071",2.27553002171862,7.1608129692289e-09,1.31551148773518,0.578112121211054,3.49458814996829,102140476,102142970
"ENSG00000153820","ENSG00000153820",2.02322578385123,3.57185472473626e-07,1.312798367274,0.648863996174996,3.22118243816771,227979955,228181687
"ENSG00000259237","ENSG00000259237",3.21354209766589,8.70090213138189e-18,1.28541683906635,0.4,5.04407511350185,53116365,53129698
"ENSG00000255986","ENSG00000255986",2.14104539543593,1.08114548525031e-07,1.26261898912527,0.589720793317505,3.22688665201182,56635739,56637086
"ENSG00000285294","ENSG00000285294",2.31610384561493,8.17921814417474e-09,1.24547181514584,0.537744375108173,3.38264675630072,46398362,46453306
"ENSG00000262198","ENSG00000262198",2.36074998892259,6.59253604116087e-09,1.20043251672493,0.508496250072116,3.33212719142548,22918591,22924602
"ENSG00000139144","ENSG00000139144",2.22820989852518,6.55058257952579e-08,1.18422188179078,0.53146783100398,3.14357701830669,18242961,18648416
"ENSG00000147256","ENSG00000147256",2.36887285836548,8.42742323897069e-09,1.16908195431947,0.49351823597917,3.26880860445764,131058346,131089885
"ENSG00000108849","ENSG00000108849",2.54888271400268,4.51340288019598e-10,1.15678691867564,0.453840779852542,3.47170983921641,43940804,43942476
"ENSG00000224893","ENSG00000224893",2.00411667990443,2.32770641058736e-06,1.13631912691977,0.566992500144231,2.82534673665198,152754903,152875991
"ENSG00000234685","ENSG00000234685",2.3476990383645,2.00591240066795e-08,1.12513036228514,0.479248125036058,3.14150440173796,22915651,22916523
"ENSG00000197953","ENSG00000197953",2.93472323140395,3.65705526780468e-13,1.11627045003622,0.380366515687481,3.97415458143038,151733916,151761339
"ENSG00000241119","ENSG00000241119",2.02221716278497,2.46521250507727e-06,1.10461716724997,0.546240625180289,2.77236667653283,233671898,233773300
"ENSG00000250961","ENSG00000250961",2.61349966674933,3.26972838662893e-10,1.09666593938434,0.419615871138938,3.41233216977711,57395060,57534504
"ENSG00000184672","ENSG00000184672",2.48258849400753,3.92957363625512e-09,1.07998057685316,0.435021985907055,3.19733332960535,84182787,84921844
"ENSG00000186675","ENSG00000186675",2.69400286796806,1.65078646977076e-10,1.0445844585799,0.387744375108173,3.39468221980929,75782987,75785254
"ENSG00000204687","ENSG00000204687",2.82706808603276,1.48751199666554e-11,1.03497946226414,0.366096404744368,3.57063979499875,29486697,29487956
"ENSG00000235140","ENSG00000235140",2.70614019147844,1.72574980490453e-10,1.02629859370292,0.379248125036058,3.36507173143702,59578467,59650345
"ENSG00000165192","ENSG00000165192",2.04001325078929,4.11377722803238e-06,1.02453485498206,0.502219705967923,2.61448625737985,15281697,15315640
"ENSG00000248767","ENSG00000248767",2.09095423247591,2.94222392893793e-06,0.994018172221762,0.475389732009935,2.59067574317968,290170,294422
"ENSG00000182521","ENSG00000182521",2.20153901644445,9.94199605459183e-07,0.963711321029738,0.437744375108173,2.62190691615276,55413541,55456726
"ENSG00000250538","ENSG00000250538",2.8214962809725,9.00411547270125e-11,0.937280776538275,0.332192809488736,3.29969155483504,155206529,155209027
"ENSG00000156920","ENSG00000156920",2.09190819487425,5.28183920700764e-06,0.931619871390091,0.445344529780426,2.45529060958971,136300963,136416890
"ENSG00000271820","ENSG00000271820",2.2077122890002,1.76597115907421e-06,0.901842191294708,0.408496250072116,2.48899807082057,170266669,170276762
"ENSG00000171446","ENSG00000171446",2.22610387683912,1.7672043879382e-06,0.880077990431346,0.395344529780426,2.45668630666043,40776808,40782550
"ENSG00000254139","ENSG00000254139",2.14702185666584,4.76649778033366e-06,0.877050377270866,0.408496250072116,2.38113821069656,57746149,57750199
"ENSG00000137675","ENSG00000137675",3.1339363431117,4.86640553788351e-13,0.875145847796301,0.279248125036058,3.63106472611775,102691487,102705769
"ENSG00000254237","ENSG00000254237",2.04661488075074,1.71791197058656e-05,0.858792086072135,0.419615871138938,2.26156407213157,9367898,9436205
"ENSG00000287901","ENSG00000287901",2.5382188999721,3.26915010971748e-08,0.857269156258831,0.337744375108173,2.72291874141112,44296805,44310237
"ENSG00000203972","ENSG00000203972",2.49882908232551,7.01190764814192e-08,0.84396546691216,0.337744375108173,2.64609861161593,49499923,49528078
"ENSG00000259672","ENSG00000259672",2.29178512601817,1.48644826563646e-06,0.821596373648567,0.358496250072116,2.38389027887446,63091085,63110589
"ENSG00000184544","ENSG00000184544",3.4856965293531,5.52069396005045e-16,0.799089393798892,0.229248125036058,4.06947089310805,9771434,9791592
"ENSG00000214100","ENSG00000214100",2.5086918970977,1.21237230928403e-07,0.79298848928391,0.316096404744368,2.53318679974938,129922863,129934317
"ENSG00000101438","ENSG00000101438",2.09089095309266,1.96940789525552e-05,0.792966473615248,0.379248125036058,2.1518900856605,38724486,38729372
"ENSG00000281880","ENSG00000281880",2.34715567740043,1.30503622598854e-06,0.772796605951829,0.329248125036058,2.3228295673675,31812307,32002405
"ENSG00000152034","ENSG00000152034",2.53674083122203,1.2611123508194e-07,0.76102224936661,0.3,2.48541896428035,99918519,99994247
"ENSG00000163285","ENSG00000163285",2.4187883907695,7.30309350838749e-07,0.746187148270356,0.308496250072116,2.32880864815514,46035769,46124054
"ENSG00000172058","ENSG00000172058",2.24610724196833,6.272737845449e-06,0.739526598047985,0.329248125036058,2.15695658122033,70900669,70918530
"ENSG00000224223","ENSG00000224223",2.91036777727755,5.56128035178243e-10,0.734052105043459,0.252219705967923,2.87360903138737,54556970,54571726
"ENSG00000287018","ENSG00000287018",2.77452904763412,5.8687805142692e-09,0.728026366296375,0.262396375672179,2.67835076685218,76664144,76693051
"ENSG00000287000","ENSG00000287000",2.42611240016179,9.62562513368505e-07,0.716539026020245,0.295344529780426,2.26561546454845,97945208,97950018
"ENSG00000249797","ENSG00000249797",2.54270893533895,2.28828974004007e-07,0.710046702705832,0.279248125036058,2.36675146837346,117730515,118266267
"ENSG00000239268","ENSG00000239268",2.10089746122501,6.11722134848222e-05,0.664086134229795,0.316096404744368,1.87761874430199,117672154,117997592
"ENSG00000261292","ENSG00000261292",3.03499937989997,2.704802239924e-10,0.655852454397769,0.216096404744368,2.8274443189499,97759523,97761532
"ENSG00000203858","ENSG00000203858",3.613604803363,1.33090125477414e-15,0.64773188562411,0.179248125036058,3.80322622654425,119439001,119446086
"ENSG00000186732","ENSG00000186732",2.79224097614539,1.85701182126754e-08,0.640116008430183,0.229248125036058,2.46710283171815,43411196,43507848
"ENSG00000173452","ENSG00000173452",2.59847559837338,2.95172186380736e-07,0.637521773828827,0.245344529780426,2.24520251621606,19719315,19773617
"ENSG00000125255","ENSG00000125255",3.83507011942903,1.26064381039718e-17,0.607844232693122,0.158496250072116,4.13849970026512,103043998,103066417
"ENSG00000237179","ENSG00000237179",2.35655142965449,1.11153611684145e-05,0.578167002411971,0.245344529780426,1.87862104141208,66696190,66703252
"ENSG00000196767","ENSG00000196767",2.51754787742723,1.87376830409472e-06,0.577143130588699,0.229248125036058,2.01695668829009,83508290,83512127
"ENSG00000196341","ENSG00000196341",2.72609801011387,1.80370228103632e-07,0.557141215897347,0.204373142062517,2.17447449139353,124302831,124315099
"ENSG00000177992","ENSG00000177992",2.85581676427602,6.34265535909091e-08,0.511899800443018,0.179248125036058,2.19641061874976,87882877,87888903
"ENSG00000267774","ENSG00000267774",2.76727633576122,2.68805575294653e-07,0.496029094641851,0.179248125036058,2.05797053468535,59696459,59698111
"ENSG00000286765","ENSG00000286765",2.62970123604965,6.28897338748075e-06,0.394455185407447,0.15,1.66515651248486,8971624,8974580
"ENSG00000253762","ENSG00000253762",2.44208943713404,5.91958886315378e-05,0.366313415570106,0.15,1.44633852004107,63703077,63751677
"ENSG00000283365","ENSG00000283365",3.27443068406012,4.55261594223634e-09,0.327443068406012,0.1,2.15805677319119,49954985,49968730
"ENSG00000259135","ENSG00000259135",4.23522267864658,1.82962860317174e-12,0,0,2.30563184730663,34556774,34561298
"ENSG00000224931","ENSG00000224931",-2.0819718198948,0.0088141037411226,-0.812734646782046,0.39036774610288,0,153122145,153128323
"ENSG00000184330","ENSG00000184330",-2.17654265064088,0.00563165497628081,-0.925013854855554,0.42499229435416,0,153416520,153423222
"ENSG00000287806","ENSG00000287806",-2.2643659964625,0.00364949135395405,-1.03989597041142,0.459243767145414,0,131385453,131407083
"ENSG00000287536","ENSG00000287536",-2.33037626631533,0.00256216304016003,-1.13348574739588,0.48639602272816,0,182278684,182282752
"ENSG00000264596","ENSG00000264596",-2.3611965187058,0.00216577615246548,-1.17942993504847,0.499505198192875,0,7814118,7815730
"ENSG00000228411","ENSG00000228411",-2.36365034155864,0.00213883783601848,-1.18315203608512,0.500561362771163,0,12801973,12803830
"ENSG00000234886","ENSG00000234886",-2.05922420323943,0.00975439006976426,-1.18803583387381,0.576933697654133,0.05,102803041,102806138
"ENSG00000272383","ENSG00000272383",-2.37490414828384,0.00201584851688679,-1.20033883327155,0.505426222838908,0,63088162,63089197
"ENSG00000279439","ENSG00000279439",-2.07189702555064,0.00907958902245479,-1.20810016767027,0.583088904888599,0.05,25200976,25202837
"ENSG00000286947","ENSG00000286947",-2.07726457155916,0.00880768758452778,-1.21667935981967,0.585712275883306,0.05,48524308,48526051
"ENSG00000260062","ENSG00000260062",-2.09218072614569,0.0081047539172207,-1.24077687079313,0.59305434529977,0.05,62253730,62270680
"ENSG00000288615","ENSG00000288615",-2.09233819495595,0.00810363897608517,-1.24103246180658,0.59313186787794,0.05,170306557,170307606
"ENSG00000285612","ENSG00000285612",-2.09680310332117,0.00789189769699766,-1.24832025758888,0.595344529780426,0.05,71586269,71590354
"ENSG00000250250","ENSG00000250250",-2.1012674456107,0.00768163517148968,-1.25564227523924,0.597564235748349,0.05,15602189,15619109
"ENSG00000267978","ENSG00000267978",-2.10769452271025,0.00740316926388538,-1.26624122470029,0.600770752619334,0.05,149581653,149587453
"ENSG00000229775","ENSG00000229775",-2.11382039477952,0.00713501238370449,-1.27641095565187,0.603840779852541,0.05,106140143,106188722
"ENSG00000223492","ENSG00000223492",-2.12203344156603,0.00680225071595289,-1.29014922630683,0.607977801402938,0.05,53168643,53179550
"ENSG00000228166","ENSG00000228166",-2.12231503475312,0.00679543022592089,-1.29062129877859,0.608119566437845,0.05,5094139,5095014
"ENSG00000248572","ENSG00000248572",-2.43844851398485,0.00138700727242539,-1.30120798578723,0.533621267098575,0,38399814,38403471
"ENSG00000266127","ENSG00000266127",-2.13977260725398,0.00612644734553418,-1.32022365068977,0.616992500144231,0.05,9785108,9787805
"ENSG00000228680","ENSG00000228680",-2.45985495722318,0.00122320489153558,-1.33669143839693,0.543402542687258,0,43239066,43249268
"ENSG00000198092","ENSG00000198092",-2.15648452818824,0.00555816162548162,-1.34907005091838,0.625587632688369,0.05,68053198,68129869
"ENSG00000215887","ENSG00000215887",-2.48149441783114,0.00106919919086509,-1.37335557545157,0.553438913899271,0,49841821,49846400
"ENSG00000288542","ENSG00000288542",-2.17419358467513,0.00503059116234529,-1.3801887596849,0.634804908547793,0.05,40469955,40611127
"ENSG00000229695","ENSG00000229695",-2.17592520380613,0.00497789406402732,-1.38326236346344,0.635712275883306,0.05,43680465,43681622
"ENSG00000255345","ENSG00000255345",-2.49556258722699,0.000983541476544105,-1.39762717510285,0.560044930251922,0,79092848,79098003
"ENSG00000283599","ENSG00000283599",-2.21733925810669,0.00384437834440942,-1.4584347313227,0.657740905452605,0.05,71667542,71671524
"ENSG00000249175","ENSG00000249175",-2.21908575548651,0.00380686184840108,-1.46167596402746,0.658683856815171,0.05,94788789,94793599
"ENSG00000229794","ENSG00000229794",-2.53913490036484,0.000748928696433464,-1.47503240573388,0.58091927511293,0,102806741,102807824
"ENSG00000203395","ENSG00000203395",-2.00249808445038,0.00710079850222153,-1.47603015136669,0.737094413636763,0.1,68361214,68365584
"ENSG00000270874","ENSG00000270874",-2.01770559184815,0.00643136573388241,-1.50558153439412,0.746184944164754,0.1,86854696,86856236
"ENSG00000224007","ENSG00000224007",-2.24332171376134,0.003273933211465,-1.50726005039925,0.67188760361618,0.05,148295656,148296679
"ENSG00000235834","ENSG00000235834",-2.02000007262462,0.00634298118360573,-1.51007981050323,0.747564235748349,0.1,17528435,17587160
"ENSG00000286411","ENSG00000286411",-2.04535215616948,0.00539275267072184,-1.56051725539128,0.762957738443342,0.1,91030149,91033725
"ENSG00000206192","ENSG00000206192",-2.04960447677814,0.00526296113547957,-1.56910776677786,0.765566129736605,0.1,18816718,18871967
"ENSG00000275139","ENSG00000275139",-2.05046837712292,0.00523505166189632,-1.57085645175589,0.766096404744368,0.1,45759804,45763758
"ENSG00000231163","ENSG00000231163",-2.6043036406177,0.000492074833889842,-1.5973218423306,0.613339327034745,0,33868953,33893726
"ENSG00000237704","ENSG00000237704",-2.32568226262204,0.00190808178199863,-1.67089246916884,0.718452600350069,0.05,99340305,99341761
"ENSG00000227248","ENSG00000227248",-2.64559495584909,0.000371143665368044,-1.6790336240718,0.63465256476985,0,107788342,107835451
"ENSG00000233993","ENSG00000233993",-2.10281470576553,0.00368492230979768,-1.6798629590634,0.798863996174996,0.1,18674395,18698709
"ENSG00000227016","ENSG00000227016",-2.33095156412519,0.00184206261327184,-1.68183429731695,0.721522627583277,0.05,72765031,72791282
"ENSG00000152591","ENSG00000152591",-2.33814926254137,0.00175025119216233,-1.69687839808414,0.725735702706924,0.05,87608529,87616873
"ENSG00000259564","ENSG00000259564",-2.3382972782866,0.00174924543115422,-1.6971874591774,0.725821936730397,0.05,61834682,61935738
"ENSG00000286051","ENSG00000286051",-2.65963460755225,0.000335583828709454,-1.70758886767432,0.642038896179753,0,152769764,152792268
"ENSG00000187054","ENSG00000187054",-2.1250816999606,0.00314980743738329,-1.72804658334181,0.813167128291514,0.1,67909395,67964140
"ENSG00000268916","ENSG00000268916",-2.35341579876139,0.00157599739999309,-1.72914791852538,0.734739657749997,0.05,152753921,152760222
"ENSG00000286976","ENSG00000286976",-2.02924436874355,0.00388212156776922,-1.75451731479329,0.864616081640102,0.129248125036058,42649520,42657893
"ENSG00000288076","ENSG00000288076",-2.70084311657056,0.000251192197450574,-1.79373779331333,0.664139942934177,0,6572571,6576219
"ENSG00000263146","ENSG00000263146",-2.70360545261787,0.000246778369610901,-1.79963914739852,0.665644147764218,0,78976555,78979074
"ENSG00000233716","ENSG00000233716",-2.39337005527904,0.0011758536038564,-1.81599796869748,0.758761882514552,0.05,63232453,63233577
"ENSG00000256120","ENSG00000256120",-2.39366289417767,0.00117376300313185,-1.81664896318034,0.758941021978969,0.05,24223233,24260056
"ENSG00000280036","ENSG00000280036",-2.40265991527644,0.00109615017729166,-1.8366972833214,0.764443303708291,0.05,41016990,41018843
"ENSG00000259671","ENSG00000259671",-2.40633183753775,0.00106693797892517,-1.84493388383489,0.766699694138068,0.05,58154960,58156061
"ENSG00000258212","ENSG00000258212",-2.41389858215925,0.00101081383695741,-1.86199843004923,0.771365642206748,0.05,44008620,44010143
"ENSG00000228496","ENSG00000228496",-2.19035150323788,0.00197910192043174,-1.87578992859339,0.856387628113803,0.1,11681460,11683328
"ENSG00000249713","ENSG00000249713",-2.01681730638683,0.00309124458315734,-1.88486959962567,0.934576272058302,0.15,76606608,76608970
"ENSG00000240893","ENSG00000240893",-2.08885445105339,0.00251136938547764,-1.89288193379008,0.906181822690191,0.129248125036058,112736447,112749319
"ENSG00000286163","ENSG00000286163",-2.75808371144378,0.000169471770062743,-1.91936670694428,0.695905892551589,0,121093392,121298035
"ENSG00000227300","ENSG00000227300",-2.77097779520321,0.000153765111592068,-1.9486544948184,0.703237138237513,0,16829999,16832830
"ENSG00000237074","ENSG00000237074",-2.32374637249139,0.00107091414929555,-1.98457438844836,0.854040876380416,0.0792481250360578,207240122,207309292
"ENSG00000228714","ENSG00000228714",-2.23663653859321,0.00138376680380179,-1.98667804516284,0.888243579536805,0.1,115324932,115744330
"ENSG00000266965","ENSG00000266965",-2.06020690217695,0.00222124930310053,-1.99180273470842,0.966797428260115,0.15,35595901,35597599
"ENSG00000287695","ENSG00000287695",-2.23955571130078,0.00135315024180854,-1.9938477691418,0.890287193607581,0.1,154346042,154347834
"ENSG00000279324","ENSG00000279324",-2.80980139018244,0.000113285610368433,-2.03910390442647,0.725711045467906,0,49994318,49996218
"ENSG00000286076","ENSG00000286076",-2.03436839285495,0.00210621521061866,-2.05279491413803,1.00905761284328,0.166096404744368,106425278,106511544
"ENSG00000269506","ENSG00000269506",-2.49678347026384,0.00054016692413116,-2.05764505057106,0.824118340687999,0.05,54059597,54061210
"ENSG00000181211","ENSG00000181211",-2.81957951965615,0.00010535497062642,-2.06243171558613,0.73146783100398,0,43117896,43163187
"ENSG00000197641","ENSG00000197641",-2.03945323235786,0.00202540599774991,-2.0660627017677,1.01304735454957,0.166096404744368,63586989,63604639
"ENSG00000274238","ENSG00000274238",-2.08942714834028,0.00176974029181039,-2.06654267647319,0.989047489937483,0.15,89743792,89744305
"ENSG00000272477","ENSG00000272477",-2.82620326185602,0.00010022705934983,-2.07836027365792,0.735389524776441,0,18408680,18409635
"ENSG00000259379","ENSG00000259379",-2.27414077082131,0.00102644809952219,-2.08042294280892,0.914817134234645,0.1,58152606,58154407
"ENSG00000139797","ENSG00000139797",-2.17575529675696,0.00127519113259124,-2.11034596690826,0.96993718459691,0.129248125036058,98175785,98177269
"ENSG00000188771","ENSG00000188771",-2.29135778347518,0.000892466599895398,-2.1246574298671,0.927248221639462,0.1,112248153,112260860
"ENSG00000225017","ENSG00000225017",-2.0235393558894,0.00186637640146296,-2.12579921318568,1.05053514625187,0.179248125036058,99346052,99348256
"ENSG00000229105","ENSG00000229105",-2.53031961494881,0.000411784653674599,-2.14150555031372,0.846337963655649,0.05,116504283,116562293
"ENSG00000143536","ENSG00000143536",-2.85941847386881,7.74816940761485e-05,-2.1597992574285,0.755328147022244,0,152409243,152414263
"ENSG00000264230","ENSG00000264230",-2.53997520488437,0.000380471530264806,-2.16617184375416,0.85283188575566,0.05,46375627,46391784
"ENSG00000256463","ENSG00000256463",-2.3220106641879,0.000690550958344107,-2.2053366485672,0.949753023351636,0.1,78980275,79002677
"ENSG00000257893","ENSG00000257893",-2.3247792723048,0.000676697186485816,-2.212745091923,0.951808680627674,0.1,91876924,91880659
"ENSG00000280837","ENSG00000280837",-2.88167645991376,6.51547279738373e-05,-2.21586110050273,0.768948607287106,0,210617571,210619876
"ENSG00000225572","ENSG00000225572",-2.216852418878,0.00090231230040755,-2.22007477978565,1.00145357484341,0.129248125036058,111808516,111821773
"ENSG00000258162","ENSG00000258162",-2.36505536907192,0.000483395818143978,-2.32289372199516,0.982173082445294,0.1,81378042,81556637
"ENSG00000236065","ENSG00000236065",-2.46145251156313,0.000346389208604558,-2.34248275322822,0.951666848019197,0.0792481250360578,32987075,33032469
"ENSG00000232684","ENSG00000232684",-2.07762136833433,0.000815979396199117,-2.44548998337681,1.17706239483732,0.2,112745449,112754693
"ENSG00000164438","ENSG00000164438",-2.14051229823359,0.000666985337455697,-2.46042322522741,1.1494553090201,0.179248125036058,171309248,171312139
"ENSG00000159527","ENSG00000159527",-2.23253419965258,0.000516366621258629,-2.4664456755229,1.10477397206579,0.15,153297862,153310718
"ENSG00000287796","ENSG00000287796",-2.67007908305562,0.000126093198186735,-2.5224443504994,0.944707730384053,0.05,147879361,147885249
"ENSG00000287158","ENSG00000287158",-2.67328806350024,0.000122195101603177,-2.53182043823549,0.947081039564617,0.05,83953639,84051419
"ENSG00000270832","ENSG00000270832",-2.16480661305073,0.000533647892823536,-2.5350447756688,1.17102597543173,0.179248125036058,89458870,89459437
"ENSG00000232906","ENSG00000232906",-2.6878581014183,0.000107412117794534,-2.57474940473928,0.957918650311437,0.05,65355934,65357176
"ENSG00000255666","ENSG00000255666",-2.06434482778565,0.000555377571676373,-2.6410998085181,1.27938887581641,0.229248125036058,94638045,94652884
"ENSG00000223650","ENSG00000223650",-2.06841487273412,0.000533647892823536,-2.65449106109281,1.2833455686692,0.229248125036058,74105572,74107958
"ENSG00000269189","ENSG00000269189",-3.05427527216422,1.46811167320881e-05,-2.6939081951812,0.882012246811117,0,98233650,98234700
"ENSG00000221836","ENSG00000221836",-2.03266122216762,0.000532821393549341,-2.69988810612971,1.32825287199141,0.25,144048948,144058845
"ENSG00000117501","ENSG00000117501",-3.05646931268613,1.44309137546964e-05,-2.70050783517023,0.883538344049962,0,170935471,171064765
"ENSG00000278275","ENSG00000278275",-2.31915188091589,0.000225429280237984,-2.73800125969739,1.18060454868358,0.15,128009551,128011938
"ENSG00000243508","ENSG00000243508",-2.3972520871035,0.000175602881326535,-2.75905138223795,1.1509225070992,0.129248125036058,125344085,125344797
"ENSG00000102243","ENSG00000102243",-2.27523320234891,0.00024040280809324,-2.76290171297811,1.21433781386705,0.166096404744368,136532215,136556807
